No_Die,Datetime,Lot_Num,Wafer_Num,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Lamp,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp,Target,Datetime,Error_message,Yield
NOLSM4491717,05-03-2019 ?? 9:04:30,17,17,1,Oxidation,dry,1132.417473,O2,34.57,0.198,103,716.015,1,Photo,1.394,15.812,14.892,19.995,194.278,90,498.447,3966.849,5018.378,5.102,94.13,30.004,1,57.004,Hg-Arc,G,405,510.869,108.924,3,Etching,337,1498,3639,5729,71.134,50.369,1.036,3,Implantation,1.64E+16,4.65E+16,2.58E+17,3.01E+17,6.00E+17,31179.148,0.01,103.458,904,153,78,03-06-2018,none,96.1
NOLSM4501718,05-03-2019 ?? 9:04:30,17,18,1,Oxidation,dry,1130.180832,H2O,33.18,0.18,129,716.476,1,Photo,1.48934,14.143,15.04,19.994,197.191,90,501.545,3961.776,4985.679,5.1,89.636,30.002,3,56.015,Hg-Arc,H,405,476.612,108.359,1,Etching,268,1372,3673,5694,70.685,50.708,1.041,1,Implantation,9.25E+15,8.40E+16,1.06E+18,2.99E+17,6.00E+17,32292.179,0.01,100.414,904,158,69,03-06-2018,none,96.55
NOLSM4511719,05-03-2019 ?? 9:04:30,17,19,1,Oxidation,dry,1081.355736,O2,35.95,0.217,133,714.01,2,Photo,1.7501,11.261,15.056,19.99,197.239,90.001,500.965,4053.747,4980.595,4.918,91.353,29.997,1,22.418,Hg-Arc,I,436,503.756,105.207,1,Etching,398,1479,3668,5716,68.15,50.463,1.04,1,Implantation,9.53E+15,8.47E+16,5.91E+17,3.01E+17,6.00E+17,31684.211,0.01,101.7,905,156,122,03-06-2018,none,93.9
NOLSM4521720,05-03-2019 ?? 9:04:30,17,20,1,Oxidation,dry,1181.756344,O2,35.61,0.195,146,717.093,2,Photo,0.91809,17.393,15.062,19.998,202.38,89.999,501.146,4135.827,5099.437,4.922,92.542,30.004,3,29.962,Hg-Arc,G,436,534.287,109.531,3,Etching,435,1556,3665,5689,73.081,51.389,1.022,3,Implantation,1.20E+16,1.04E+17,7.73E+17,3.02E+17,6.00E+17,31473.404,0.01,102.852,903,155,161,03-06-2018,none,91.95
NOLSM4531721,05-03-2019 ?? 9:04:30,17,21,1,Oxidation,wet,862.0112757,O2,29.07,0.195,56,703.906,3,Photo,1.00626,13.311,15.06,19.996,202.275,89.999,503.343,4116.758,4983.651,5,92.904,29.999,1,28.301,Hg-Arc,H,436,547.91,108.014,3,Etching,337,1319,3656,5714,71.234,51.688,1.029,3,Implantation,1.24E+16,8.14E+16,5.93E+17,2.99E+17,6.00E+17,32007.126,0.01,99.669,899,157,68,03-06-2018,none,96.6
NOLSM4541722,05-03-2019 ?? 9:04:30,17,22,1,Oxidation,dry,1067.281623,H2O,40.33,0.196,112,699.474,3,Photo,1.7477,13.475,15.091,19.995,199.276,90.001,500.854,4041.033,4968.513,4.893,93.915,30.006,2,41.796,Hg-Arc,I,365,496.304,108.198,2,Etching,207,1517,3613,5723,70.287,50.762,1.055,2,Implantation,1.80E+16,9.52E+16,6.15E+17,3.00E+17,6.00E+17,31068.324,0.01,101.929,903,152,46,03-06-2018,none,97.7
NOLSM4551723,05-03-2019 ?? 9:04:30,17,23,1,Oxidation,dry,1030.270105,O2,36.79,0.212,181,699.373,3,Photo,1.43657,15.959,14.992,19.993,206.314,90,503.315,4084.04,4910.9,5.036,91.425,29.988,3,48.865,Hg-Arc,G,436,495.075,107.279,1,Etching,298,1575,3682,5737,71.399,51.216,1.015,1,Implantation,1.68E+16,1.08E+17,5.69E+17,3.00E+17,6.00E+17,31559.957,0.01,102.648,894,157,89,03-06-2018,none,95.55
NOLSM4561724,05-03-2019 ?? 9:04:30,17,24,2,Oxidation,dry,1114.586608,O2,33.47,0.199,118,690.935,1,Photo,0.99229,18.878,15.087,19.997,203.115,90,500.658,4053.513,5008.979,5.017,93.546,30.006,1,56.005,Hg-Arc,I,365,534.682,107.168,1,Etching,511,1487,3674,5688,72.158,51.151,1.054,1,Implantation,1.35E+16,3.97E+16,4.45E+17,2.99E+17,6.00E+17,32335.265,0.01,104.012,902,154,121,03-06-2018,none,93.95
NOLSM4571725,05-03-2019 ?? 9:04:30,17,25,2,Oxidation,wet,1096.411544,O2,31.53,0.213,154,716.105,1,Photo,1.3883,11.141,14.958,19.998,206.371,90.001,499.7,4063.728,5055.363,5.108,91.442,29.997,3,30.795,Hg-Arc,H,436,515.659,107.437,3,Etching,291,1623,3667,5730,71.972,50.805,1.035,3,Implantation,1.32E+16,1.48E+17,5.52E+17,3.00E+17,6.00E+17,32053.209,0.01,103.613,899,159,123,03-06-2018,none,93.85
NOLSM4581726,05-03-2019 ?? 9:04:30,17,26,2,Oxidation,dry,1089.261667,H2O,30.59,0.204,168,700.377,2,Photo,1.6335,17.163,14.873,19.999,194.586,89.999,499.974,4054.617,5028.105,4.936,91.057,30.01,1,31.074,Hg-Arc,I,405,529.606,108.445,3,Etching,630,1205,3647,5706,70.657,50.916,1.035,3,Implantation,1.47E+16,3.94E+16,4.87E+17,3.02E+17,6.00E+17,31181.515,0.01,102.502,902,149,77,03-06-2018,none,96.15
NOLSM4591727,05-03-2019 ?? 9:04:30,17,27,2,Oxidation,dry,1142.00607,O2,27.16,0.229,152,707.673,2,Photo,0.75916,16.161,14.988,20.006,199.489,90,501.204,4063.703,5055.558,5.104,91.242,30,2,37.972,Hg-Arc,G,365,486.392,108.301,2,Etching,343,1589,3672,5702,71.628,51.567,1.033,2,Implantation,6.22E+15,1.18E+17,8.26E+17,3.02E+17,6.00E+17,32463.943,0.01,103.367,900,153,129,03-06-2018,none,93.55
NOLSM460181,06-03-2019 ?? 9:04:30,18,1,2,Oxidation,dry,870.1430801,O2,22.15,0.188,195,688.458,2,Photo,0.96985,16.96,14.94,20.002,205.266,90.001,505.266,4105.328,5131.66,5.119,93.795,29.99,3,25.657,Hg-Arc,G,436,542.767,106.535,1,Etching,98,1370,3614,5683,68.846,49.99,1,1,Implantation,1.71E+16,3.66E+15,2.47E+15,3.00E+17,6.00E+17,32203.258,0.01,99.975,912,150,48,03-07-2018,none,97.6
NOLSM461182,06-03-2019 ?? 9:04:30,18,2,2,Oxidation,dry,870.7949893,O2,22.18,0.192,199,690.969,3,Photo,0.67389,16.527,15.106,20.002,205.014,90.001,505.014,4100.279,5125.348,5.11,92.334,30.017,1,22.358,Hg-Arc,G,436,559.309,107.851,1,Etching,183,1346,3615,5711,69.097,50.559,1.014,1,Implantation,1.72E+16,1.65E+15,3.47E+17,2.99E+17,6.00E+17,32196.245,0.01,101.397,913,152,36,03-07-2018,none,98.2
NOLSM462183,06-03-2019 ?? 9:04:30,18,3,2,Oxidation,dry,871.0032293,O2,22.18,0.208,215,704.849,3,Photo,1.07597,16.996,15.032,20.004,201.845,90,501.845,4036.901,5046.127,5.057,92.03,29.994,2,19.378,Hg-Arc,G,436,554.537,107.31,2,Etching,195,1396,3628,5704,70.485,51.093,1.027,2,Implantation,8.80E+15,1.09E+16,9.71E+14,3.01E+17,6.00E+17,32199.428,0.01,102.733,915,154,30,03-07-2018,none,98.5
NOLSM463184,06-03-2019 ?? 9:04:30,18,4,2,Oxidation,dry,871.4997532,O2,22.18,0.211,218,708.054,3,Photo,0.92165,16.867,14.954,19.996,200.993,90,500.993,4019.851,5024.813,5.031,91.466,30.006,3,29.366,Hg-Arc,G,436,557.108,107.699,3,Etching,183,1378,3630,5689,70.805,51.007,1.025,3,Implantation,1.21E+16,6.47E+15,6.18E+17,2.98E+17,6.00E+17,32197.27,0.01,102.517,915,154,15,03-07-2018,none,99.25
NOLSM464185,06-03-2019 ?? 9:04:30,18,5,3,Oxidation,dry,871.6910602,O2,22.19,0.216,223,712.583,1,Photo,0.78711,16.648,15.029,20.002,199.811,90,499.811,3996.219,4995.273,5.002,91.033,30.01,1,13.721,Hg-Arc,G,436,553.497,107.293,3,Etching,152,1420,3636,5717,71.258,51.175,1.029,3,Implantation,5.72E+15,4.60E+16,2.83E+17,3.01E+17,6.00E+17,32198.727,0.01,102.939,912,154,24,03-07-2018,none,98.8
NOLSM465186,06-03-2019 ?? 9:04:30,18,6,3,Oxidation,dry,872.0964096,O2,22.18,0.216,223,712.477,1,Photo,1.06047,16.398,14.952,20.003,199.192,89.999,499.192,3983.84,4979.8,4.967,90.947,30.007,2,19.727,Hg-Arc,G,436,552.958,107.638,2,Etching,150,1329,3637,5708,71.248,51.054,1.026,2,Implantation,1.46E+16,1.46E+17,5.11E+17,2.98E+17,6.00E+17,32200.232,0.01,102.634,913,154,33,03-07-2018,none,98.35
NOLSM466187,06-03-2019 ?? 9:04:30,18,7,3,Oxidation,dry,871.8803254,O2,22.18,0.216,223,712.484,1,Photo,1.00201,16.849,14.967,19.998,198.879,90,498.879,3977.571,4971.964,4.97,91.144,30.004,3,29.578,Hg-Arc,G,436,550.899,108.359,1,Etching,62,1418,3634,5732,71.248,51.153,1.029,1,Implantation,8.87E+15,7.78E+15,2.55E+17,3.00E+17,6.00E+17,32202.697,0.01,102.883,917,154,15,03-07-2018,none,99.25
NOLSM467188,06-03-2019 ?? 9:04:30,18,8,3,Oxidation,dry,872.3541455,O2,22.2,0.217,224,713.776,2,Photo,0.98377,17.185,15.077,19.998,199.287,90.002,499.287,3985.745,4982.181,4.985,90.663,29.997,1,17.244,Hg-Arc,G,436,548.49,107.84,1,Etching,143,1415,3636,5701,71.378,51.38,1.034,1,Implantation,1.57E+16,1.23E+17,1763661791,3.01E+17,6.00E+17,32198.538,0.01,103.449,912,155,9,03-07-2018,none,99.55
NOLSM468189,06-03-2019 ?? 9:04:30,18,9,3,Oxidation,dry,872.4141968,O2,22.2,0.217,224,713.6,2,Photo,1.11711,16.813,14.937,20.001,197.828,90,497.828,3956.57,4945.712,4.94,90.511,29.99,2,17.474,Hg-Arc,G,436,547.287,107.46,2,Etching,113,1413,3638,5726,71.36,50.989,1.025,2,Implantation,1.66E+16,6.66E+16,9.93E+17,2.99E+17,6.00E+17,32200.315,0.01,102.473,908,154,24,03-07-2018,none,98.8
NOLSM4691810,06-03-2019 ?? 9:04:30,18,10,3,Oxidation,dry,872.3553695,O2,22.21,0.216,223,712.25,3,Photo,0.78203,16.699,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,1,23.018,Hg-Arc,G,436,548.646,108.197,3,Etching,178,1486,3639,5726,71.225,51.355,1.034,3,Implantation,1.08E+16,2.67E+16,3.36E+16,3.02E+17,6.00E+17,32200.324,0.01,103.388,912,155,60,03-07-2018,none,97
NOLSM4701811,06-03-2019 ?? 9:04:30,18,11,3,Oxidation,dry,872.5565675,O2,22.21,0.216,223,712.442,3,Photo,1.0309,16.056,15.024,20.004,199.193,89.999,499.193,3983.859,4979.824,4.982,91.182,29.995,2,24.328,Hg-Arc,G,436,555.085,108.275,2,Etching,241,1505,3637,5728,71.244,51.355,1.034,2,Implantation,1.32E+16,1.16E+17,3.92E+17,3.02E+17,6.00E+17,32201.779,0.01,103.387,913,155,39,03-07-2018,none,98.05
NOLSM4711812,06-03-2019 ?? 9:04:30,18,12,3,Oxidation,dry,872.1836111,O2,22.19,0.216,223,712.213,3,Photo,0.89203,15.741,15.053,20.002,199.35,90.001,499.35,3986.997,4983.746,5.005,91.333,30.001,3,31.553,Hg-Arc,G,436,552.418,108.825,1,Etching,165,1399,3635,5705,71.221,51.61,1.04,1,Implantation,1.67E+16,1.42E+17,2.54E+17,2.98E+17,6.00E+17,32300.362,0.01,104.024,916,156,24,03-07-2018,none,98.8
NOLSM4721813,06-03-2019 ?? 9:04:30,18,13,1,Oxidation,dry,872.4719636,O2,22.19,0.217,224,713.713,1,Photo,0.81909,16.839,14.96,19.996,199.805,90,499.805,3996.109,4995.136,4.996,91.67,29.993,1,36.742,Hg-Arc,G,436,556.431,108.883,1,Etching,136,1393,3639,5733,71.371,51.651,1.041,1,Implantation,3.08E+15,3.12E+14,1.42E+17,2.99E+17,6.00E+17,32299.266,0.01,104.129,917,156,54,03-07-2018,none,97.3
NOLSM4731814,06-03-2019 ?? 9:04:30,18,14,1,Oxidation,dry,872.0302876,O2,22.19,0.217,224,713.21,1,Photo,0.65738,16.674,15.07,20,200.224,89.999,500.224,4004.471,5005.589,5.008,91.55,30.002,2,29.197,Hg-Arc,G,436,551.224,108.837,2,Etching,192,1438,3642,5693,71.321,51.618,1.04,2,Implantation,1.38E+16,1.01E+17,6.49E+17,3.00E+17,6.00E+17,32300.914,0.01,104.045,917,156,87,03-07-2018,none,95.65
NOLSM4741815,06-03-2019 ?? 9:04:30,18,15,1,Oxidation,dry,872.5088053,O2,22.21,0.217,224,713.755,1,Photo,1.02135,16.548,14.905,19.997,200.135,90,500.135,4002.704,5003.38,5.008,91.947,30.009,3,36.652,Hg-Arc,G,436,556.698,109.502,3,Etching,167,1414,3635,5725,71.375,51.608,1.04,3,Implantation,1.44E+16,2.56E+15,8.63E+17,3.00E+17,6.00E+17,32300.515,0.01,104.019,922,156,21,03-07-2018,none,98.95
NOLSM4751816,06-03-2019 ?? 9:04:30,18,16,1,Oxidation,dry,872.5657741,O2,22.19,0.218,225,714.696,2,Photo,0.81659,16.811,14.964,20,200.793,90,500.793,4015.856,5019.82,5.022,91.409,30.007,1,38,Hg-Arc,G,436,555.801,108.991,3,Etching,142,1461,3640,5689,71.47,51.881,1.047,3,Implantation,7.95E+15,7.70E+16,2.00E+17,3.00E+17,6.00E+17,32297.604,0.01,104.702,917,157,57,03-07-2018,none,97.15
NOLSM4761817,06-03-2019 ?? 9:04:30,18,17,1,Oxidation,dry,872.3695463,O2,22.17,0.217,224,713.465,2,Photo,0.82715,15.987,15.047,19.998,200.125,90,500.125,4002.491,5003.113,5.01,91.643,30.002,3,31.46,Hg-Arc,G,436,550.755,108.858,1,Etching,200,1448,3635,5706,71.346,51.626,1.041,1,Implantation,9.66E+15,4.18E+16,2.67E+17,3.00E+17,6.00E+17,32299.646,0.01,104.065,917,156,15,03-07-2018,none,99.25
NOLSM4771818,06-03-2019 ?? 9:04:30,18,18,1,Oxidation,dry,872.2527033,O2,22.12,0.216,223,712.843,3,Photo,1.044,17.072,14.935,20.001,200.33,90.001,500.33,4006.608,5008.259,5.04,91.794,29.992,1,32.782,Hg-Arc,G,436,546.804,108.846,1,Etching,107,1370,3636,5721,71.284,51.506,1.038,1,Implantation,1.47E+16,1.38E+17,1.71E+16,2.99E+17,6.00E+17,32300.541,0.01,103.766,917,156,30,03-07-2018,none,98.5
NOLSM4781819,06-03-2019 ?? 9:04:30,18,19,1,Oxidation,dry,871.975026,O2,22.11,0.217,224,713.454,3,Photo,0.83434,16.87,14.996,20.001,200.338,90,500.338,4006.751,5008.438,5.009,91.771,29.995,2,29.906,Hg-Arc,G,436,550.457,108.913,2,Etching,53,1311,3635,5721,71.345,51.632,1.041,2,Implantation,1.55E+16,1.55E+17,7.15E+17,3.00E+17,6.00E+17,32300.313,0.01,104.08,917,156,18,03-07-2018,none,99.1
NOLSM4791820,06-03-2019 ?? 9:04:30,18,20,1,Oxidation,dry,871.3201245,O2,22.12,0.217,224,713.224,3,Photo,0.6944,17.148,14.973,20.005,201.015,90,501.015,4020.293,5025.366,5.026,92.076,29.996,3,35.244,Hg-Arc,G,436,552.697,109.409,3,Etching,228,1356,3640,5721,71.322,51.699,1.042,3,Implantation,2.04E+16,1.50E+16,5.69E+15,2.99E+17,6.00E+17,32300.421,0.01,104.248,920,156,81,03-07-2018,none,95.95
NOLSM4801821,06-03-2019 ?? 9:04:30,18,21,2,Oxidation,dry,871.5156406,O2,22.1,0.218,225,714.11,1,Photo,0.89266,16.694,15.105,20.003,201.475,90,501.475,4029.509,5036.887,5.017,92.009,29.99,1,39.437,Hg-Arc,G,436,546.286,109.337,3,Etching,182,1372,3640,5704,71.411,51.862,1.047,3,Implantation,1.44E+16,4.11E+16,6.94E+16,3.02E+17,6.00E+17,32300.241,0.01,104.656,919,157,63,03-07-2018,none,96.85
NOLSM4811822,06-03-2019 ?? 9:04:30,18,22,2,Oxidation,dry,871.5312982,O2,22.11,0.217,224,713.825,1,Photo,0.71561,16.661,14.898,19.999,201.129,90,501.129,4022.588,5028.235,5.028,92.478,29.997,2,42.086,Hg-Arc,G,436,543.498,110.06,2,Etching,136,1308,3634,5705,71.383,51.928,1.048,2,Implantation,5.98E+15,3.03E+16,2.08E+17,2.98E+17,6.00E+17,32296.539,0.01,104.819,925,157,21,03-07-2018,none,98.95
NOLSM4821823,06-03-2019 ?? 9:04:30,18,23,2,Oxidation,dry,872.3137478,O2,22.1,0.219,226,715.172,1,Photo,0.85345,16.157,15.019,19.997,202.083,90,502.083,4041.659,5052.074,5.058,91.649,30.001,3,31.482,Hg-Arc,G,436,544.819,109.031,1,Etching,160,1306,3637,5715,71.517,52.139,1.053,1,Implantation,8.13E+15,4.31E+16,4.73E+17,2.99E+17,6.00E+17,32197.085,0.01,105.348,915,158,15,03-07-2018,none,99.25
NOLSM4831824,06-03-2019 ?? 9:04:30,18,24,2,Oxidation,dry,871.1639191,O2,22.1,0.216,223,713.038,2,Photo,0.91509,17.257,15.055,19.997,200.38,90,500.38,4007.602,5009.502,5.008,92.17,29.989,1,43.236,Hg-Arc,G,436,559.819,109.34,1,Etching,132,1373,3637,5729,71.304,51.748,1.044,1,Implantation,1.24E+16,2.18E+16,1.80E+17,2.99E+17,6.00E+17,32197.037,0.01,104.369,920,157,45,03-07-2018,none,97.75
NOLSM4841825,06-03-2019 ?? 9:04:30,18,25,2,Oxidation,dry,871.4705615,O2,22.1,0.216,223,712.958,2,Photo,0.90035,17.28,14.954,19.998,200.637,90,500.637,4012.742,5015.927,5.009,91.839,30.005,2,35.818,Hg-Arc,G,436,560.269,109.205,2,Etching,145,1413,3638,5723,71.296,51.876,1.047,2,Implantation,8.21E+15,1.68E+16,2.47E+17,3.00E+17,6.00E+17,32199.163,0.01,104.691,917,157,57,03-07-2018,none,97.15
NOLSM4851826,06-03-2019 ?? 9:04:30,18,26,2,Oxidation,dry,871.7683051,O2,22.09,0.217,224,714.001,2,Photo,0.88812,17.19,14.968,20,200.409,89.999,500.409,4008.184,5010.23,5.016,91.864,29.99,3,34.683,Hg-Arc,G,436,552.795,109.331,3,Etching,114,1282,3635,5696,71.4,51.904,1.048,3,Implantation,1.31E+16,6.89E+16,1.78E+17,3.01E+17,6.00E+17,32201.077,0.01,104.76,918,157,12,03-07-2018,none,99.4
NOLSM4861827,06-03-2019 ?? 9:04:30,18,27,2,Oxidation,dry,871.2876685,O2,22.1,0.217,224,713.848,3,Photo,0.7983,16.27,15.041,20,200.856,90,500.856,4017.12,5021.4,5.021,91.992,29.996,1,45.552,Hg-Arc,G,436,552.984,109.671,3,Etching,210,1428,3644,5732,71.385,51.894,1.047,3,Implantation,2.90E+15,2.77E+16,1.33E+17,3.00E+17,6.00E+17,32200.053,0.01,104.734,920,157,108,03-07-2018,none,94.6
NOLSM487191,07-03-2019 ?? 9:04:30,19,1,2,Oxidation,dry,872.1675295,O2,22.1,0.219,226,715.199,3,Photo,0.54712,16.624,15.066,19.999,201.343,90,501.343,4026.868,5033.585,5.017,91.995,29.994,2,38.42,Hg-Arc,G,436,552.143,109.603,2,Etching,191,1382,3640,5690,71.52,52.092,1.052,2,Implantation,1.43E+16,1.14E+17,7.16E+17,3.00E+17,6.00E+17,32198.19,0.01,105.23,919,158,51,03-08-2018,none,97.45
NOLSM488192,07-03-2019 ?? 9:04:30,19,2,2,Oxidation,dry,870.8549225,O2,22.1,0.219,226,715.385,3,Photo,0.80815,16.706,14.957,20.004,201.388,90,501.388,4027.76,5034.7,5.033,92.461,29.996,3,40.362,Hg-Arc,G,436,554.379,109.975,1,Etching,180,1403,3636,5711,71.539,52.101,1.053,1,Implantation,1.46E+16,3.05E+16,6.52E+14,3.01E+17,6.00E+17,32199.503,0.01,105.251,924,158,27,03-08-2018,none,98.65
NOLSM489193,07-03-2019 ?? 9:04:30,19,3,3,Oxidation,dry,871.3250502,O2,22.11,0.219,226,715.44,1,Photo,0.81602,15.742,15.039,19.998,201.048,90,501.048,4020.959,5026.199,5.028,92.843,30.002,1,49.535,Hg-Arc,G,436,539.611,110.531,1,Etching,241,1372,3637,5704,71.544,52.168,1.054,1,Implantation,1.11E+16,6.38E+16,5.78E+17,3.00E+17,6.00E+17,32200.371,0.01,105.42,929,158,51,03-08-2018,none,97.45
NOLSM490194,07-03-2019 ?? 9:04:30,19,4,3,Oxidation,dry,871.9026319,O2,22.1,0.22,227,716.953,1,Photo,0.67929,16.097,15.052,19.995,202.063,90,502.063,4041.264,5051.58,5.045,92.313,29.994,2,48.873,Hg-Arc,G,436,543.765,110.704,2,Etching,210,1448,3646,5694,71.695,52.326,1.058,2,Implantation,9.87E+15,3.52E+15,5.92E+17,2.98E+17,6.00E+17,32202.607,0.01,105.815,929,159,117,03-08-2018,none,94.15
NOLSM491195,07-03-2019 ?? 9:04:30,19,5,3,Oxidation,dry,872.372823,O2,22.09,0.22,227,716.079,1,Photo,0.89418,16.81,14.916,19.998,201.574,90.001,501.574,4031.484,5039.355,5.024,91.672,30.011,3,38.145,Hg-Arc,G,436,557.198,109.671,3,Etching,136,1428,3640,5721,71.608,52.369,1.059,3,Implantation,1.98E+16,1.17E+17,5.28E+16,2.99E+17,6.00E+17,32201.147,0.01,105.922,921,159,48,03-08-2018,none,97.6
NOLSM492196,07-03-2019 ?? 9:04:30,19,6,3,Oxidation,dry,871.8744387,O2,22.08,0.219,226,715.605,2,Photo,1.02064,16.806,14.863,19.999,200.921,90,500.921,4018.416,5023.02,4.998,91.667,30.005,1,40.408,Hg-Arc,G,436,559.368,109.111,3,Etching,198,1388,3641,5726,71.56,51.699,1.042,3,Implantation,1.85E+16,6.67E+16,1.11E+18,3.00E+17,6.00E+17,32200.629,0.01,104.247,917,156,57,03-08-2018,none,97.15
NOLSM493197,07-03-2019 ?? 9:04:30,19,7,3,Oxidation,dry,871.7072146,O2,22.05,0.217,224,713.967,2,Photo,0.92089,17.095,14.914,20,200.286,90.001,500.286,4005.711,5007.138,4.994,91.31,29.998,2,24.251,Hg-Arc,G,436,551.846,108.36,2,Etching,186,1388,3645,5729,71.397,51.598,1.04,2,Implantation,1.18E+16,1.06E+17,3.21E+15,3.00E+17,6.00E+17,32201.877,0.01,103.995,911,156,93,03-08-2018,none,95.35
NOLSM494198,07-03-2019 ?? 9:04:30,19,8,3,Oxidation,dry,870.5105735,O2,22.03,0.217,224,713.483,2,Photo,0.84419,16.473,14.978,19.996,199.381,90.001,499.381,3987.622,4984.527,4.985,91.497,30.003,3,30.525,Hg-Arc,G,436,551.722,108.611,1,Etching,195,1358,3642,5732,71.348,51.548,1.039,1,Implantation,1.01E+16,8.22E+14,6.04E+16,3.01E+17,6.00E+17,32199.828,0.01,103.871,913,156,75,03-08-2018,none,96.25
NOLSM495199,07-03-2019 ?? 9:04:30,19,9,3,Oxidation,dry,871.4561746,O2,22.04,0.217,224,713.627,3,Photo,0.8699,17.239,14.966,19.995,199.125,90,499.125,3982.507,4978.133,4.99,91.532,30.006,1,36.502,Hg-Arc,G,436,553.742,108.924,1,Etching,270,1368,3639,5720,71.363,51.571,1.039,1,Implantation,9.20E+15,5.37E+13,1.38E+17,3.00E+17,6.00E+17,32202.069,0.01,103.928,914,156,45,03-08-2018,none,97.75
NOLSM4961910,07-03-2019 ?? 9:04:30,19,10,3,Oxidation,dry,871.2889254,O2,22.03,0.218,225,714.956,3,Photo,0.79198,16.812,15.039,19.997,199.951,90,499.951,3999.023,4998.779,4.98,91.009,29.998,2,24.124,Hg-Arc,G,436,553.393,108.303,2,Etching,185,1459,3646,5692,71.496,51.729,1.043,2,Implantation,2.14E+16,4.12E+16,3.61E+17,2.99E+17,6.00E+17,32200.463,0.01,104.322,910,156,96,03-08-2018,none,95.2
NOLSM4971911,07-03-2019 ?? 9:04:30,19,11,3,Oxidation,dry,872.2062123,O2,22.05,0.217,224,713.64,3,Photo,0.97443,16.467,14.944,20.003,198.914,90,498.914,3978.273,4972.841,4.971,90.769,29.995,3,29.507,Hg-Arc,G,436,555.049,108.042,3,Etching,363,1508,3656,5702,71.364,51.523,1.038,3,Implantation,8.76E+15,8.53E+16,4.28E+17,2.99E+17,6.00E+17,32201.824,0.01,103.807,908,156,207,03-08-2018,[['Center']],89.65
NOLSM4981912,07-03-2019 ?? 9:04:30,19,12,1,Oxidation,dry,871.5021153,O2,22.06,0.216,223,712.976,1,Photo,1.23171,16.468,14.918,20.003,198.11,90,498.11,3962.196,4952.745,4.961,91.265,30.002,1,37.901,Hg-Arc,G,436,558.813,108.924,3,Etching,243,1459,3646,5721,71.298,51.41,1.035,3,Implantation,1.16E+16,1.00E+17,3.54E+17,3.01E+17,6.00E+17,32198.962,0.01,103.525,915,155,126,03-08-2018,none,93.7
NOLSM4991913,07-03-2019 ?? 9:04:30,19,13,1,Oxidation,dry,871.504701,O2,22.05,0.219,226,715.564,1,Photo,0.71339,17.202,15.109,20.006,200.097,90,500.097,4001.938,5002.422,4.999,91.5,29.996,2,34.094,Hg-Arc,G,436,554.717,109.182,2,Etching,281,1497,3651,5688,71.556,51.932,1.048,2,Implantation,2.11E+16,3.97E+15,6.12E+15,2.99E+17,6.00E+17,32203.539,0.01,104.83,916,157,153,03-08-2018,none,92.35
NOLSM5001914,07-03-2019 ?? 9:04:30,19,14,1,Oxidation,dry,871.8009857,O2,22.03,0.219,226,715.604,1,Photo,1.04384,17.96,15.011,19.997,199.352,89.999,499.352,3987.046,4983.808,4.986,90.816,30.002,3,29.246,Hg-Arc,G,436,549.091,108.335,1,Etching,326,1514,3653,5696,71.56,51.904,1.048,1,Implantation,1.92E+16,5.97E+15,1.15E+18,3.01E+17,6.00E+17,32200.183,0.01,104.759,911,157,156,03-08-2018,none,92.2
NOLSM5011915,07-03-2019 ?? 9:04:30,19,15,1,Oxidation,dry,870.5353831,O2,22.04,0.218,225,714.557,2,Photo,0.97059,16.942,14.933,20,198.157,90.001,498.157,3963.138,4953.923,4.962,91.354,30.002,1,43.378,Hg-Arc,G,436,553.48,109.471,1,Etching,345,1492,3652,5729,71.456,51.51,1.038,1,Implantation,1.52E+16,3.96E+16,2.29E+17,2.99E+17,6.00E+17,32195.713,0.01,103.775,919,156,180,03-08-2018,none,91
NOLSM5021916,07-03-2019 ?? 9:04:30,19,16,1,Oxidation,dry,871.4795899,O2,22.04,0.22,227,716.48,2,Photo,0.84388,16.878,14.954,19.999,200.323,90,500.323,4006.461,5008.076,4.982,91.072,30.003,2,42.33,Hg-Arc,G,436,553.143,109.929,2,Etching,325,1442,3657,5711,71.648,52.03,1.051,2,Implantation,5.71E+15,2.78E+16,3.42E+17,2.99E+17,6.00E+17,32200.514,0.01,105.075,920,158,216,03-08-2018,[['Loc']],89.2
